town,Index,group,State Name,District names,latitude,longitude
Bankner ,-1.42903669,5,NCT OF DELHI,North West,27.9879156,77.8120851
Avinissery ,-1.429120693,5,KERALA,Thrissur,10.46881455,76.22274326
Chhatha ,-1.429734067,5,JAMMU & KASHMIR,Jammu,32.37511283,73.71706079
Gondpipri ,-1.430239119,5,MAHARASHTRA,Chandrapur,19.7174815,79.6866721
Tharike ,-1.430662206,5,PUNJAB,Ludhiana,30.87407314,75.77455335
Nerul ,-1.431355297,5,GOA,North Goa,19.03359375,73.01816401
Pappinisseri ,-1.432059558,5,KERALA,Kannur,11.9443193,75.344481
Jharoda Kalan ,-1.435682482,5,NCT OF DELHI,South West,28.6532995,76.9526021
Padirikuppam ,-1.437095589,5,TAMIL NADU,Cuddalore,13.3734851,79.4048604
Dharmadom ,-1.437790062,5,KERALA,Kannur,11.7767078,75.4685456
Kottivakkam ,-1.438825745,5,TAMIL NADU,Kancheepuram,12.9705053,80.2615033
Thiruppalai ,-1.439545142,5,TAMIL NADU,Madurai,9.9730664,78.139532
Kadungalloor ,-1.440744207,5,KERALA,Ernakulam,10.1012816,76.32767303
Goraiya ,-1.441219672,5,MADHYA PRADESH,Umaria,22.0464042,78.89155798
Karamuck ,-1.441596813,5,KERALA,Thrissur,10.47424985,76.10647437
Apra ,-1.442792132,5,PUNJAB,Jalandhar,31.0856331,75.8783964
Muruganpalayam ,-1.444758206,5,TAMIL NADU,Tiruppur,11.066082,77.3332246
Choolissery ,-1.446027228,5,KERALA,Thrissur,10.590809,76.17752833
Sangvi ,-1.446598422,5,MADHYA PRADESH,Khargone (West Nimar),22.6423897,75.53592686
Payakaraopeta ,-1.452492703,5,ANDHRA PRADESH,Visakhapatnam,17.3641297,82.5572101
Pudupattinam ,-1.454741923,5,TAMIL NADU,Kancheepuram,10.7746935,79.1498599
Pudupattinam ,-1.454741923,5,TAMIL NADU,Kancheepuram,10.7746935,79.1498599
Haripur Kalan ,-1.455459167,5,UTTARAKHAND,Dehradun,31.0485801,74.914567
Padappai ,-1.456376716,5,TAMIL NADU,Kancheepuram,12.8876927,80.0220457
Chengamanad ,-1.456519015,5,KERALA,Ernakulam,10.1533692,76.340079
Thalakudi ,-1.459493882,5,TAMIL NADU,Tiruchirappalli,10.87436,78.7204
Puzhathi ,-1.461862952,5,KERALA,Kannur,11.901776,75.37543003
Hastsal ,-1.465600794,5,NCT OF DELHI,West,28.6359648,77.0487636
Maradu ,-1.469721713,5,KERALA,Ernakulam,9.9397588,76.3286304
Dhaki ,-1.4720336,5,PUNJAB,Gurdaspur,28.9920757,78.5941313
Avanur ,-1.473321039,5,KERALA,Thrissur,10.59964575,76.18489534
Nadgaon Tarf Birwadi ,-1.474040582,5,MAHARASHTRA,Raigarh,18.0976814,73.461795
Vanagaram ,-1.475866638,5,TAMIL NADU,Thiruvallur,13.0604406,80.1533447
Neyveli (TS) ,-1.480229489,5,TAMIL NADU,Cuddalore,11.535987,79.4824392
Muthangi ,-1.480688438,5,ANDHRA PRADESH,Medak,17.5445462,78.2109421
Bhattian ,-1.482375551,5,PUNJAB,Ludhiana,31.4691553,75.8982324
Dayal Pur ,-1.482441479,5,NCT OF DELHI,North East,28.3030001,77.3883122
Vandalur ,-1.485159226,5,TAMIL NADU,Kancheepuram,12.8921486,80.0829603
Nedumbassery ,-1.485908395,5,KERALA,Ernakulam,10.1595172,76.3895183
Pappinivattom ,-1.48593336,5,KERALA,Thrissur,10.28908795,76.16722379
Cherukunnu ,-1.487382187,5,KERALA,Kannur,11.9973332,75.2954473
Bakhtawar Pur ,-1.490753711,5,NCT OF DELHI,North West,28.8234587,77.173144
Kattimancode ,-1.491319344,5,TAMIL NADU,Kanniyakumari,8.1913852,77.3528437
Haralapura ,-1.495037956,5,KARNATAKA,Davanagere,13.6937454,77.3298638
Khariya ,-1.501278595,5,UTTAR PRADESH,Sonbhadra,22.2151315,75.61454031
Edakkode ,-1.50200338,5,KERALA,Thiruvananthapuram,8.7077783,76.79340009
Kalundre ,-1.503115285,5,MAHARASHTRA,Raigarh,17.1016738,73.9498758
Mahindale ,-1.504175557,5,MAHARASHTRA,Dhule,20.7171627,75.1636612
Venginissery ,-1.506313722,5,KERALA,Thrissur,10.4649871,76.2000608
Sundarapandianpattinam ,-1.508459798,5,TAMIL NADU,Ramanathapuram,9.8416644,79.0981936
Kharach ,-1.511830286,5,GUJARAT,Bharuch,30.7246459,77.6357031
Kunnathunad ,-1.5132755,5,KERALA,Ernakulam,10.0545523,76.47149074
Sultan Pur ,-1.513424893,5,NCT OF DELHI,South,26.06386145,78.69880812
Eramalloor ,-1.527622137,5,KERALA,Ernakulam,9.8229307,76.3106548
Kanjiramkulam ,-1.53383567,5,KERALA,Thiruvananthapuram,8.3601022,77.0525935
Oorakam ,-1.533873131,5,KERALA,Thrissur,11.0632902,76.0162587
Rathian ,-1.533911152,5,JAMMU & KASHMIR,Udhampur,30.3125527,76.5308596
Mawpat ,-1.53494934,5,MEGHALAYA,East Khasi Hills,25.6013604,91.94539475
Krishnasamudram ,-1.536284425,5,TAMIL NADU,Tiruchirappalli,13.3695081,79.5549131
Anpara ,-1.542349543,5,UTTAR PRADESH,Sonbhadra,24.2055078,82.7715236
Kanaipur ,-1.542460556,5,WEST BENGAL,Hugli ,22.7023771,88.3262104
Kanaipur ,-1.542460556,5,WEST BENGAL,Hugli ,22.7023771,88.3262104
Bharanikkavu ,-1.543059199,5,KERALA,Alappuzha,9.0597089,76.6381905
Aya Nagar ,-1.544134882,5,NCT OF DELHI,South,28.47649105,77.13291316
Madathumpady ,-1.549294433,5,KERALA,Thrissur,10.1949956,76.2672125
Manakunnam ,-1.550825891,5,KERALA,Ernakulam,9.9178589,76.3540444
Hazipur ,-1.551407917,5,PUNJAB,Hoshiarpur,23.3965908,76.97082268
Barwala ,-1.554612729,5,NCT OF DELHI,North West,29.350185,75.93817117
Nangli Sakrawati ,-1.556514006,5,NCT OF DELHI,South West,28.61961575,77.00169973
Faizabad (87) ,-1.557679576,5,HARYANA,Jhajjar,26.7807986,82.1486589
Choornikkara ,-1.558034216,5,KERALA,Ernakulam,10.08328795,76.34798831
Limbodi ,-1.559261467,5,MADHYA PRADESH,Indore,22.66722905,75.89209279
Kondasamudram ,-1.564792032,5,TAMIL NADU,Vellore,15.152454,79.7789876
Kadamakkudy ,-1.569637628,5,KERALA,Ernakulam,10.0636743,76.2459969
Varam ,-1.57110882,5,KERALA,Kannur,11.8992067,75.4145065
Kot Ise Khan ,-1.574189655,5,PUNJAB,Moga,30.9430954,75.13724
Medipalle ,-1.577323861,5,ANDHRA PRADESH,Rangareddy,18.800405,78.8149265
Kharghar ,-1.578659143,5,MAHARASHTRA,Raigarh,19.025773,73.05918453
Neelagiri ,-1.579257659,5,TAMIL NADU,Thanjavur,12.9958455,77.5025168
Khera ,-1.579794961,5,NCT OF DELHI,South West,26.39273865,77.86901278
Kharabwadi ,-1.581095682,5,MAHARASHTRA,Pune,18.2933097,77.0020527
Kattur ,-1.581528338,5,KERALA,Thrissur,11.7005688,78.2656872
Bangarda Chhota ,-1.582228872,5,MADHYA PRADESH,Indore,22.74414605,75.81757294
Ettumanoor ,-1.587273979,5,KERALA,Kottayam,9.6751487,76.5460114
Jalgaon ,-1.588197457,5,MAHARASHTRA,Ratnagiri,20.84288265,75.52612464
Krishnapuram ,-1.588603397,5,KERALA,Alappuzha,8.6892834,77.8057267
Pullur ,-1.588782817,5,KERALA,Thrissur,15.8756533,77.9976081
Nalwadi ,-1.592989692,5,MAHARASHTRA,Wardha,31.6035298,76.34504
Takalghat ,-1.593949004,5,MAHARASHTRA,Nagpur,20.9146845,78.9457476
Shafipur ,-1.594527258,5,UTTARAKHAND,Hardwar,31.5072883,74.9562406
Eloor ,-1.598870138,5,KERALA,Ernakulam,10.0669964,76.2989276
Gokal Pur ,-1.601253497,5,NCT OF DELHI,North East,32.3616465,75.1093651
Papampeta ,-1.602364864,5,ANDHRA PRADESH,Anantapur,17.745926,82.6444754
Koovappady ,-1.602412333,5,KERALA,Ernakulam,10.1628794,76.4872377
Asifabad ,-1.602593244,5,ANDHRA PRADESH,Adilabad,19.3593461,79.2960404
Korochi ,-1.610913633,5,MAHARASHTRA,Kolhapur,16.719127,74.44279391
Reis Magos ,-1.617076089,5,GOA,North Goa,15.4966011,73.8095534
Kumbalam ,-1.617889382,5,KERALA,Ernakulam,9.8906366,76.3123749
Manjakollai ,-1.618151062,5,TAMIL NADU,Nagapattinam  ,10.7572364,79.8185934
Murda ,-1.623365338,5,GOA,North Goa,21.4592596,79.4164753
Uklana Mandi ,-1.624505255,5,HARYANA,Hisar,29.5023291,75.8849272
Palavakkam ,-1.626256814,5,TAMIL NADU,Kancheepuram,12.95999,80.2560268
Ghitorni ,-1.627912793,5,NCT OF DELHI,South West,28.4931214,77.1424868
Maragondahalli ,-1.632817427,5,KARNATAKA,Bangalore,12.9349855,77.42294844
Karumalloor ,-1.634369824,5,KERALA,Ernakulam,10.1457971,76.32151721
Nemilicheri ,-1.635883341,5,TAMIL NADU,Thiruvallur,13.1256971,80.0506578
Jarod ,-1.637746529,5,GUJARAT,Vadodara,24.7723796,75.17781781
Khed ,-1.639857598,5,MAHARASHTRA,Satara,18.8515893,73.83618598
Perumbavoor ,-1.642079571,5,KERALA,Ernakulam,10.1147548,76.4778152
Akluj ,-1.6458917,5,MAHARASHTRA,Solapur,17.8930069,75.0204482
Marampilly,-1.646131434,5,KERALA,Ernakulam,10.1106743,76.4193428
Thiruvankulam ,-1.653966928,5,KERALA,Ernakulam,9.9434669,76.373653
Navoor ,-1.665714859,5,KARNATAKA,Dakshina Kannada,13.0573654,75.3178499
Azhikode North ,-1.666770235,5,KERALA,Kannur,11.9355582,75.3129759
Thekkumbhagom ,-1.669161942,5,KERALA,Ernakulam,10.1199848,76.4186025
Parota ,-1.670356312,5,WEST BENGAL,Birbhum,31.8175351,76.9070434
Bhondsi (168) ,-1.670963422,5,HARYANA,Gurgaon,28.3504798,77.0618737
Kodoli ,-1.672139838,5,MAHARASHTRA,Satara,16.8750463,74.1901147
Birpur ,-1.674567603,5,JAMMU & KASHMIR,Samba,25.5267972,86.09499044
Vellookkara ,-1.675050368,5,KERALA,Thrissur,10.31415,76.21355335
Nerkunram ,-1.675369515,5,TAMIL NADU,Thiruvallur,12.6900289,79.8531496
Shankarampet (A) ,-1.6767431,5,ANDHRA PRADESH,Medak,18.0495442,77.913361
Gothra ,-1.679160718,5,RAJASTHAN,Jhunjhunun,23.9476619,76.28668739
Venkatachalapuram ,-1.680106925,5,TAMIL NADU,Virudhunagar,8.8758234,77.747369
Goa Velha ,-1.684545046,5,GOA,North Goa,15.4409533,73.8817296
Chelur ,-1.687103524,5,KARNATAKA,Chikkaballapura,9.9610123,76.29026565
Peramangalam ,-1.691019432,5,KERALA,Thrissur,10.5745886,76.1621752
Ballepalle ,-1.691852005,5,ANDHRA PRADESH,Khammam,17.27718935,80.18815667
Chhitauni ,-1.695603075,5,UTTAR PRADESH,Varanasi,27.1481993,83.956101
Jafarpur ,-1.700113553,5,WEST BENGAL,North Twenty Four Parganas,22.7799918,88.3851845
Nallur ,-1.700524014,5,TAMIL NADU,Thiruvallur,9.6734908,80.0290277
Nallur ,-1.700524014,5,TAMIL NADU,Thiruvallur,9.6734908,80.0290277
Cheranallur ,-1.702324709,5,KERALA,Ernakulam,10.0405599,76.2805116
Edakkalathur ,-1.703228526,5,KERALA,Thrissur,10.5961287,76.12046284
Chikkabanavara ,-1.703612186,5,KARNATAKA,Bangalore,13.4021825,76.1844179
Noida ,-1.706946148,5,UTTAR PRADESH,Gautam Buddha Nagar,28.5706333,77.3272147
Sarai Khas ,-1.708930159,5,PUNJAB,Jalandhar,28.5433691,77.2050447
Mitraon ,-1.709564887,5,NCT OF DELHI,South West,28.6074198,76.9453065
